Longitude, latitude
0.973172, 41.636913
0.980450, 41.635814
0.988260, 41.634767
0.994859, 41.633883
1.001869, 41.633659
1.004835, 41.633322
1.009042, 41.632919
1.013447, 41.632590
1.015646, 41.632705
1.017072, 41.632828
1.024477, 41.634432
1.028704, 41.635337
1.038333, 41.637415
1.067187, 41.643675
1.067997, 41.643852
1.098559, 41.650538
1.115358, 41.654235
1.118276, 41.654637
1.120214, 41.654630
1.121616, 41.654464
1.123339, 41.654078
1.124654, 41.653660
1.126219, 41.652937
1.128366, 41.651720
1.129760, 41.650914
1.130726, 41.650373
1.131562, 41.650016
1.132571, 41.649677
1.133785, 41.649484
1.135602, 41.649425
1.135625, 41.649367
1.136386, 41.649291
1.137242, 41.649550
1.137707, 41.649691
1.138961, 41.650066
1.139490, 41.650278
1.139756, 41.650385
1.141354, 41.650703
1.143113, 41.651068
1.143836, 41.651191
1.144108, 41.651132
1.144375, 41.651283
1.144806, 41.651414
1.145479, 41.651619
1.146202, 41.651842
1.147176, 41.652141
1.147525, 41.652388
1.147560, 41.652425
1.147604, 41.652489
1.147768, 41.652595
1.147962, 41.652636
1.148140, 41.652615
1.148272, 41.652596
1.148657, 41.652595
1.150025, 41.652986
1.150222, 41.653042
1.152119, 41.653583
1.155546, 41.654415
1.156750, 41.654769
1.157821, 41.655104
1.158603, 41.655329
1.158843, 41.655399
1.159066, 41.655461
1.159202, 41.655499
1.160727, 41.655922
1.161278, 41.656078
1.162416, 41.656392
1.163358, 41.656938
1.163938, 41.657326
1.164611, 41.657628
1.165382, 41.657801
1.166211, 41.657851
1.166907, 41.657778
1.168179, 41.657544
1.169574, 41.657571
1.174369, 41.658387
1.179156, 41.658940
1.183606, 41.659577
1.188106, 41.660722
1.192830, 41.661535
1.197431, 41.662307
1.202024, 41.662991
1.206114, 41.664220
1.210439, 41.665712
1.214848, 41.667079
1.216033, 41.667469
1.217218, 41.667896
1.219190, 41.668626
1.220106, 41.669065
1.220950, 41.669506
1.222549, 41.670614
1.224009, 41.671829
1.225277, 41.673205
1.228097, 41.676938
1.231037, 41.679462
1.234405, 41.681081
1.238357, 41.681861
1.240570, 41.682107
1.242389, 41.682698
1.245969, 41.683801
1.246749, 41.684042
1.247870, 41.684236
1.249050, 41.684437
1.251779, 41.684894
1.252419, 41.685001
1.255653, 41.685892
1.257951, 41.686857
1.259626, 41.687345
1.262097, 41.687592
1.265502, 41.687072
1.267084, 41.686530
1.268733, 41.686113
1.269957, 41.685891
1.270977, 41.685736
1.272326, 41.685615
1.274273, 41.685563
1.275052, 41.685534
1.275608, 41.685487
1.276273, 41.685410
1.277188, 41.685240
1.278106, 41.685018
1.279168, 41.684725
1.280231, 41.684453
1.281070, 41.684325
1.282213, 41.684214
1.284114, 41.684114
1.284871, 41.684064
1.285063, 41.684050
1.286415, 41.683974
1.287216, 41.683922
1.288766, 41.683837
1.291928, 41.683649
1.294700, 41.683487
1.296517, 41.683376
1.297082, 41.683349
1.297897, 41.683336
1.298611, 41.683357
1.299256, 41.683425
1.299901, 41.683521
1.300457, 41.683636
1.301157, 41.683831
1.301840, 41.684079
1.302483, 41.684368
1.303152, 41.684722
1.303741, 41.685122
1.304262, 41.685518
1.305396, 41.686482
1.308048, 41.688766
1.309176, 41.689721
1.309602, 41.690060
1.310032, 41.690361
1.310575, 41.690694
1.311085, 41.690955
1.311624, 41.691200
1.312287, 41.691449
1.313011, 41.691660
1.313797, 41.691826
1.314663, 41.691942
1.315531, 41.692004
1.316217, 41.692007
1.323775, 41.691851
1.328444, 41.691747
1.329219, 41.691734
1.335179, 41.691602
1.338583, 41.691533
1.339472, 41.691528
1.340202, 41.691573
1.340872, 41.691657
1.341472, 41.691769
1.342100, 41.691937
1.342747, 41.692145
1.343399, 41.692418
1.344013, 41.692728
1.344662, 41.693128
1.345023, 41.693356
1.345386, 41.693679
1.345707, 41.693965
1.345972, 41.694227
1.346258, 41.694536
1.346567, 41.694946
1.347027, 41.695692
1.347195, 41.696049
1.347375, 41.696420
1.347517, 41.696764
1.347687, 41.697239
1.347987, 41.697918
1.348267, 41.698480
1.348671, 41.699167
1.349070, 41.699767
1.349552, 41.700411
1.349953, 41.700907
1.350282, 41.701272
1.350767, 41.701772
1.351237, 41.702207
1.351794, 41.702698
1.352241, 41.703052
1.355023, 41.705140
1.355801, 41.705791
1.356672, 41.706607
1.357411, 41.707382
1.358075, 41.708169
1.358629, 41.708894
1.359058, 41.709521
1.359436, 41.710116
1.359836, 41.710851
1.360209, 41.711601
1.360883, 41.713030
1.361234, 41.713760
1.361596, 41.714439
1.362002, 41.715126
1.362437, 41.715793
1.362784, 41.716280
1.363205, 41.716820
1.363655, 41.717359
1.364108, 41.717865
1.364698, 41.718461
1.365330, 41.719056
1.366031, 41.719654
1.366643, 41.720146
1.367379, 41.720682
1.368102, 41.721171
1.368955, 41.721694
1.369627, 41.722076
1.370354, 41.722460
1.371141, 41.722835
1.372059, 41.723238
1.372757, 41.723523
1.373513, 41.723803
1.374434, 41.724125
1.375560, 41.724499
