Id: 715654839, distance: 952814.787597
Id: 715654840, distance: 952805.034406
Id: 715654844, distance: 952798.672079
Id: 715654845, distance: 952792.047374
Id: 715654825, distance: 952786.866220
Id: 715654847, distance: 952780.552600
Id: 715654823, distance: 952763.307250
Id: 424266994, distance: 952699.765985
Id: 715654923, distance: 952642.620523
Id: 424266995, distance: 952435.164480
Id: 424266996, distance: 952297.390671
Id: 476258811, distance: 952235.419041
Id: 248799004, distance: 952203.666372
Id: 248799021, distance: 952198.740437
Id: 248799020, distance: 952190.561375
Id: 248799019, distance: 952185.003868
Id: 476258763, distance: 952179.069129
Id: 248799018, distance: 952173.772193
Id: 315254719, distance: 952158.116679
Id: 315254691, distance: 952141.294809
Id: 315254692, distance: 952125.839321
Id: 248733747, distance: 952112.112417
Id: 315254628, distance: 952074.943450
Id: 248733746, distance: 952045.417778
Id: 248733744, distance: 951906.344468
Id: 248733743, distance: 951769.554032
Id: 248733742, distance: 951724.380693
Id: 248733741, distance: 951674.540559
Id: 248733740, distance: 951557.255035
Id: 554191705, distance: 951519.629947
Id: 248733739, distance: 951308.516128
Id: 248733738, distance: 951275.476512
Id: 248733737, distance: 951220.913336
Id: 248733199, distance: 951176.920829
Id: 248733198, distance: 951098.070124
Id: 248733197, distance: 951033.630262
Id: 248733200, distance: 950989.958388
Id: 248733167, distance: 950939.591634
Id: 248733166, distance: 950911.713193
Id: 248733165, distance: 950772.878954
Id: 248733164, distance: 950705.832189
Id: 248733163, distance: 950646.319727
Id: 248733162, distance: 950611.411794
Id: 248733161, distance: 950504.614801
Id: 248732710, distance: 950120.608163
Id: 248730949, distance: 949975.327209
Id: 248732709, distance: 949947.684524
Id: 248732708, distance: 949857.055075
Id: 248732707, distance: 949766.218904
Id: 248732706, distance: 949717.235084
Id: 248732705, distance: 949692.001019
Id: 248732704, distance: 949659.416812
Id: 248732703, distance: 949623.677226
Id: 890594563, distance: 949532.959322
Id: 248732702, distance: 949455.996555
Id: 248732701, distance: 949338.129750
Id: 248732700, distance: 949146.546506
Id: 890589535, distance: 949122.894475
Id: 248732699, distance: 949086.478376
Id: 248732698, distance: 948807.979172
Id: 248732697, distance: 948767.204913
Id: 248732696, distance: 948742.021458
Id: 248732695, distance: 948704.462659
Id: 248732694, distance: 948629.086764
Id: 248732693, distance: 948586.494729
Id: 248732692, distance: 948553.123709
Id: 248732691, distance: 948515.697147
Id: 248732690, distance: 948461.647110
Id: 248732689, distance: 948190.075428
Id: 248732688, distance: 947958.010398
Id: 248732687, distance: 947744.325013
Id: 248732686, distance: 947571.113093
Id: 248732685, distance: 947370.226975
Id: 248732684, distance: 947160.121797
Id: 248968492, distance: 947121.080997
Id: 248968491, distance: 947093.637513
Id: 1064883760, distance: 947075.110401
Id: 1064883765, distance: 947055.705623
Id: 1064883768, distance: 947043.490204
Id: 248968490, distance: 947015.156915
Id: 248968489, distance: 946971.822566
Id: 248968445, distance: 946931.484317
Id: 248968563, distance: 946526.015320
Id: 248968568, distance: 946261.464235
Id: 248968569, distance: 946211.579586
Id: 248968570, distance: 946167.801658
Id: 248968571, distance: 945883.929078
Id: 248968597, distance: 945847.727736
Id: 248968598, distance: 945716.297136
Id: 248968599, distance: 945621.101809
Id: 248968594, distance: 945530.284386
Id: 248968595, distance: 945492.848691
Id: 248969147, distance: 945053.864035
Id: 248969148, distance: 944749.697353
Id: 308645308, distance: 944731.552511
Id: 248969149, distance: 944616.937540
Id: 308645566, distance: 944483.410235
Id: 308670559, distance: 944464.192623
Id: 248969150, distance: 944336.811023
Id: 248969151, distance: 944274.688132
Id: 308617443, distance: 944161.000793
Id: 248969152, distance: 944038.708624
Id: 248969153, distance: 943943.666858
